date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2021-10-12,1866.0,1877.0,1870.99,1842.42,30606.42,3.87,0.21,1845.542,1787.146,1719.585,39912.78,50727.53,44218.77,0.24
2021-10-11,1839.51,1889.9,1867.12,1831.01,37675.57,27.52,1.5,1835.756,1768.647,1708.947,43635.7,53179.91,45330.21,0.3
2021-10-08,1822.42,1878.0,1839.6,1807.23,47451.96,9.6,0.53,1833.332,1745.742,1696.531,61474.37,54009.16,45588.27,0.38
2021-09-30,1818.18,1850.22,1830.0,1803.4,40539.29,10.0,0.55,1804.212,1723.356,1685.651,65891.3,53420.96,47081.48,0.32
2021-09-29,1809.0,1845.01,1820.0,1785.9,43290.65,-2.06,-0.11,1765.212,1706.056,1672.051,63851.81,52743.1,47238.37,0.34
2021-09-28,1848.0,1860.0,1822.06,1795.0,49221.05,-32.94,-1.78,1728.75,1689.456,1660.351,61542.28,51186.03,47653.22,0.39
2021-09-27,1750.0,1863.4,1855.0,1750.0,126868.92,161.0,9.5,1701.538,1673.508,1649.05,62724.12,49602.74,46996.94,1.01
2021-09-24,1628.0,1719.98,1694.0,1628.0,69536.6,59.0,3.61,1658.152,1651.416,1636.05,46543.94,38910.86,43354.51,0.55
2021-09-23,1638.0,1655.88,1635.0,1625.08,30341.81,-2.69,-0.16,1642.5,1645.326,1634.601,40950.63,35263.57,42589.63,0.24
2021-09-22,1658.83,1688.0,1637.69,1635.0,31743.0,-48.31,-2.87,1646.9,1648.726,1634.11,41634.39,35350.51,44702.26,0.25
2021-09-17,1620.0,1705.6,1686.0,1620.0,55130.25,47.93,2.93,1650.162,1652.024,1630.735,40829.79,37710.01,46694.97,0.44
2021-09-16,1603.0,1644.0,1638.07,1585.0,45968.02,22.33,1.38,1645.478,1649.246,1623.835,36481.36,37480.51,49665.68,0.37
2021-09-15,1650.0,1660.0,1615.74,1610.0,41570.05,-41.26,-2.49,1644.68,1647.319,1622.93,31277.78,37167.38,49431.88,0.33
2021-09-14,1659.0,1683.0,1657.0,1653.0,33760.61,3.0,0.18,1648.152,1647.946,1623.143,29576.51,40741.99,50351.89,0.27
2021-09-13,1665.0,1684.0,1654.0,1640.1,27720.02,-8.58,-0.52,1650.552,1638.046,1622.043,29066.63,41733.64,51723.9,0.22
2021-09-10,1634.08,1668.8,1662.58,1633.0,33388.11,28.5,1.74,1653.886,1631.246,1624.303,34590.24,44120.41,51740.75,0.27
2021-09-09,1626.0,1645.0,1634.08,1624.01,19950.13,0.98,0.06,1653.014,1624.591,1626.176,38479.65,44391.14,51966.57,0.16
2021-09-08,1660.0,1671.18,1633.1,1628.08,33063.67,-35.9,-2.15,1649.958,1620.683,1628.972,43056.98,47798.16,53346.61,0.26
2021-09-07,1661.03,1684.48,1669.0,1651.0,31211.22,-1.67,-0.1,1647.74,1623.875,1634.842,51907.47,49915.69,53626.56,0.25
2021-09-06,1649.0,1708.16,1670.67,1626.15,55338.06,12.45,0.75,1625.54,1619.493,1641.342,54400.64,54054.01,56230.25,0.44
